Patient ID,Name,Birth Date,Age,Gender,Race,Ethnicity,Marital Status,Language,Address,SSN
5cbc121b-cd71-4428-b8b7-31e53eba8184,Aaron697 Brekke496,1945-12-10,79,male,White,Not Hispanic or Latino,S,English,"894 Brakus Bypass, Taunton, Massachusetts 02718",999-93-7537
adccf2c3-9dc4-4067-ba23-98982c4875da,Aaron697 Stiedemann542,1946-03-29,79,male,White,Not Hispanic or Latino,M,English,"378 Krajcik Lodge, Westford, Massachusetts N/A",999-17-8717
31191928-6acb-4d73-931c-e601cc3a13fa,Abby752 Kuvalis369,2002-10-24,22,female,White,Not Hispanic or Latino,Never Married,English,"892 Hoppe Annex, Wakefield, Massachusetts 01880",999-83-6040
67816396-e325-496d-a6ec-c047756b7ce4,Abel832 Connelly992,1999-12-12,25,male,White,Not Hispanic or Latino,Never Married,Greek,"638 Brakus Union Suite 44, Northbridge, Massachusetts N/A",999-48-8328
b426b062-8273-4b93-a907-de3176c0567d,Abraham100 Heller342,2002-04-15,22,male,White,Not Hispanic or Latino,Never Married,English,"834 Hansen Run, Somerville, Massachusetts 02138",999-19-7941
5c818f3d-7051-4b86-8203-1dc624a91804,Adam631 Cronin387,1997-12-26,27,male,White,Not Hispanic or Latino,Never Married,English,"441 Zemlak Union Unit 91, Milton, Massachusetts 02186",999-35-9084
346d4b95-5e00-48fe-a21e-076735ca1d74,Adam631 Shields502,2001-11-29,23,male,White,Not Hispanic or Latino,Never Married,English,"113 Abshire Heights, Ludlow, Massachusetts N/A",999-79-8121
668605fe-a8dc-4601-ae48-f5bc24bbea74,Adelaida985 Gulgowski816,1999-11-14,25,female,White,Not Hispanic or Latino,Never Married,English,"721 Von Mews Unit 51, Plymouth, Massachusetts 02360",999-29-3856
b43d3d32-1e9b-4acb-8578-624cdcc99f86,Adolfo777 O'Keefe54,2003-02-03,22,male,White,Not Hispanic or Latino,Never Married,English,"721 Blanda Light Unit 95, Rockland, Massachusetts N/A",999-10-4618
5dc02d13-5c69-4c36-87d5-16738f088300,Adolph80 Turcotte120,1996-12-04,28,male,White,Not Hispanic or Latino,Never Married,English,"217 Will Spur Suite 31, Amherst, Massachusetts N/A",999-19-9723
3f8be6b0-15a6-43f4-87f3-1adb737fa598,Adolph80 Williamson769,1993-02-17,32,male,White,Not Hispanic or Latino,Never Married,English,"506 Goldner Parade, Brookline, Massachusetts 02215",999-78-7595
7978d71c-094b-459e-92be-2b62f4cf5e6c,Adria871 Ankunding277,1968-03-02,57,female,White,Not Hispanic or Latino,M,English,"547 Ruecker Passage Unit 33, Hopedale, Massachusetts 01747",999-94-3519
25cc2755-9643-43a9-837c-f79c04ad8916,Agnes294 Jenkins714,1997-08-08,27,female,White,Not Hispanic or Latino,Never Married,English,"802 Pfannerstill Skyway, Westford, Massachusetts N/A",999-95-1968
6d6fec2a-b149-49c1-b669-4b7106a7aa72,Agustín529 González124,1969-12-26,55,male,Black or African American,Not Hispanic or Latino,M,Spanish,"176 Walsh Course Suite 77, Worcester, Massachusetts 01545",999-30-5327
8799a4b0-1815-4963-a0da-cb91757a7692,Ahmad985 Nader710,1991-04-21,33,male,White,Not Hispanic or Latino,M,English,"323 Bernhard Spur, Boston, Massachusetts 02108",999-50-7538
